Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Mont Kiara,1590000,4,2,1878.078,Partly Furnished,Built-up,3,1,0,Condominium
Setapak,428000,2,2,918.018,Partly Furnished,Built-up,3,1,0,Serviced Residence
Sungai Besi,2250000,5,7,2055.08,Partly Furnished,Land area,6,0,0,Terrace/Link House
Bangsar,7500000,5,4,4025.025,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1450000,2,1,867.067,Fully Furnished,Built-up,2,0,0,Condominium
Mont Kiara,2600000,5,3,3478.078,Partly Furnished,Built-up,4,1,0,Condominium
Taman Tun Dr Ismail,2750000,4,2,2426.026,Partly Furnished,Built-up,3,1,0,Serviced Residence
Seputeh,5500000,6,4,5446.046,Fully Furnished,Land area,5,1,0,Bungalow
Setapak,428000,2,2,918.018,Unfurnished,Built-up,3,1,0,Serviced Residence
Bukit Tunku (Kenny Hills),14800000,9,6,12000.0,Partly Furnished,Land area,7,1,0,Bungalow
KLCC,28000000,16,10,26000.0,Partly Furnished,Land area,14,0,0,Bungalow
Taman Tun Dr Ismail,1800000,3,3,58.595,Partly Furnished,Land area,3,1,0,Terrace/Link House
Sentul,770000,3,2,1186.086,Partly Furnished,Built-up,3,0,0,Condominium
Damansara Heights,3600000,7,5,5000.0,Unfurnished,Land area,7,0,0,Bungalow
KLCC,1200000,2,1,976.076,Partly Furnished,Built-up,2,0,0,Condominium
Segambut,720000,3,2,1577.077,Fully Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,1150000,3,4,1772.072,Partly Furnished,Built-up,5,1,0,Condominium
Bukit Jalil,928000,3,2,1513.013,Partly Furnished,Built-up,4,0,0,Condominium
Kepong,1680000,4,6,66.585,Fully Furnished,Land area,6,0,0,Terrace/Link House
KLCC,1350000,2,1,900.0,Fully Furnished,Built-up,1,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),360000,2,1,1088.088,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,868000,4,2,49.075,Partly Furnished,Land area,5,0,0,Terrace/Link House
Mont Kiara,1865000,5,3,2535.035,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1308000,1,1,753.053,Fully Furnished,Built-up,1,1,0,Condominium
KLCC,1760000,2,2,1159.059,Fully Furnished,Built-up,2,1,0,Condominium
Sungai Besi,568000,2,2,904.004,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1020000,2,1,813.013,Fully Furnished,Built-up,3,0,0,Serviced Residence
KLCC,2400000,2,1,1103.003,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1099000,2,1,833.033,Fully Furnished,Built-up,2,1,0,Serviced Residence
Desa ParkCity,1850000,3,3,48.575,Partly Furnished,Land area,3,1,0,Terrace/Link House
KLCC,1550000,2,2,910.01,Fully Furnished,Land area,2,0,0,Serviced Residence
Mont Kiara,1420000,4,2,1496.096,Fully Furnished,Built-up,4,0,0,Condominium
Taman Tun Dr Ismail,1280000,3,2,49.575,Partly Furnished,Land area,3,1,0,Terrace/Link House
Taman Tun Dr Ismail,1060000,2,2,52.08,Unfurnished,Land area,3,0,0,Terrace/Link House
Mont Kiara,2550000,5,2,2973.073,Partly Furnished,Built-up,4,1,0,Condominium
Bukit Jalil,980000,3,2,1513.013,Fully Furnished,Built-up,4,1,0,Condominium
Damansara Heights,2650000,5,3,2077.077,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,3364000,2,2,1399.099,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1420000,2,1,976.076,Partly Furnished,Built-up,2,1,0,Condominium
KLCC,2889000,2,1,1163.063,Fully Furnished,Built-up,1,0,0,Serviced Residence
City Centre,1080000,2,1,1411.011,Partly Furnished,Built-up,2,0,0,Condominium
City Centre,916000,1,1,1119.019,Fully Furnished,Built-up,1,0,0,Condominium
Mont Kiara,2500000,4,4,3833.033,Partly Furnished,Built-up,5,1,0,Semi-detached House
Sungai Besi,2200000,5,5,3282.082,Partly Furnished,Land area,4,1,0,Semi-detached House
Ampang,3600000,4,6,9670.07,Unfurnished,Land area,4,1,0,Bungalow
Taman Tun Dr Ismail,5000000,5,3,6000.0,Fully Furnished,Land area,7,1,0,Bungalow
Taman Tun Dr Ismail,2780000,3,2,62.58,Partly Furnished,Land area,4,0,0,Semi-detached House
Cheras,600000,3,2,48.575,Unfurnished,Land area,4,0,0,Terrace/Link House
Sungai Besi,1000000,4,2,50.08,Partly Furnished,Land area,5,0,0,Terrace/Link House
KL Sentral,2434900,4,1,1873.073,Unfurnished,Land area,3,1,0,Serviced Residence
Damansara Heights,1600000,2,1,1152.052,Partly Furnished,Built-up,1,1,0,Serviced Residence
Taman Melawati,2000000,6,3,3200.0,Partly Furnished,Land area,6,0,0,Semi-detached House
Cheras,535000,1,1,762.062,Partly Furnished,Built-up,1,0,0,Serviced Residence
Sungai Besi,1300000,6,4,52.08,Partly Furnished,Land area,4,1,0,Terrace/Link House
KLCC,1200000,3,2,1335.035,Fully Furnished,Built-up,3,0,0,Serviced Residence
KL Sentral,2550000,5,2,1830.03,Partly Furnished,Built-up,3,1,0,Serviced Residence
Ampang,2590000,6,2,69.08,Partly Furnished,Land area,5,1,0,Bungalow
Ampang,1480000,4,2,1876.076,Fully Furnished,Built-up,3,1,0,Condominium
Sungai Besi,1348000,6,4,3216.016,Unfurnished,Built-up,5,0,0,Terrace/Link House
Mont Kiara,618000,1,1,462.062,Fully Furnished,Built-up,1,0,0,Serviced Residence
Mont Kiara,1590000,3,2,2201.001,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1700000,4,2,1496.096,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1950000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,2300000,1,2,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1250000,3,2,1335.035,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,3166000,2,1,1423.023,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),370000,2,2,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1000000,1,1,751.051,Fully Furnished,Built-up,1,0,0,Condominium
Bangsar,6600000,5,3,4025.025,Unknown,Built-up,3,1,0,Condominium
Bangsar,7400000,5,5,5137.037,Partly Furnished,Built-up,4,1,0,Condominium
Damansara Heights,12800000,9,10,8000.0,Fully Furnished,Land area,6,1,0,Bungalow
Damansara Heights,4500000,7,3,2970.07,Partly Furnished,Land area,5,1,0,Bungalow
Bangsar,6800000,6,6,7416.016,Partly Furnished,Land area,5,2,0,Bungalow
KL Eco City,1288972,2,1,1076.076,Fully Furnished,Built-up,2,0,0,Condominium
KL Sentral,3700000,3,1,1738.038,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,410000,2,2,885.085,Partly Furnished,Built-up,2,0,0,Condominium
Taman Tun Dr Ismail,1600000,3,2,49.075,Partly Furnished,Land area,4,0,0,Terrace/Link House
KLCC,3360000,2,2,1421.021,Partly Furnished,Built-up,1,1,0,Serviced Residence
Damansara Heights,1770000,2,1,1152.052,Fully Furnished,Built-up,1,1,0,Serviced Residence
Mont Kiara,1860000,4,2,2070.07,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1450000,2,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),1080000,4,2,1875.075,Partly Furnished,Built-up,3,1,0,Condominium
Pantai,570000,2,1,1200.0,Partly Furnished,Land area,3,0,0,Condominium
Mont Kiara,1880000,3,2,2243.043,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1685000,3,2,2038.038,Partly Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,550000,2,2,1073.073,Partly Furnished,Built-up,3,0,0,Condominium
Kepong,490000,3,2,42.565,Partly Furnished,Land area,5,0,0,Terrace/Link House
Kepong,1250000,5,4,53.585,Partly Furnished,Land area,5,0,0,Terrace/Link House
KLCC,2500000,2,1,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence
Bukit Bintang,2044800,2,1,912.012,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Jalil,1250000,4,2,1700.0,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,4950000,4,2,3300.0,Fully Furnished,Built-up,4,0,0,Serviced Residence
Mont Kiara,2340000,5,3,0.0,Partly Furnished,Land area,4,1,0,Condominium
Mont Kiara,1698000,4,2,0.0,Partly Furnished,Land area,3,1,0,Condominium
Mont Kiara,1420000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),928000,2,2,1523.023,Unfurnished,Built-up,2,2,0,Condominium
Bukit Jalil,565000,2,2,1100.0,Partly Furnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),1550000,4,4,2638.038,Partly Furnished,Built-up,3,1,0,Condominium
Taman Tun Dr Ismail,1800000,3,3,50.075,Partly Furnished,Land area,4,0,0,Terrace/Link House
Damansara Heights,3200000,5,4,3670.07,Partly Furnished,Land area,4,1,0,Semi-detached House
Jalan Klang Lama (Old Klang Road),670000,2,2,907.007,Fully Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1000000,1,1,657.057,Partly Furnished,Built-up,1,0,0,Condominium
City Centre,5999000,4,3,3289.089,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2230000,5,3,2973.073,Partly Furnished,Built-up,4,1,0,Condominium
City Centre,830000,2,1,1072.072,Fully Furnished,Built-up,2,0,0,Condominium
City Centre,1100000,4,2,2111.011,Partly Furnished,Built-up,3,1,0,Condominium
Damansara Heights,8300000,6,4,6103.003,Partly Furnished,Land area,5,1,0,Bungalow
Sri Hartamas,3450000,5,3,5200.0,Partly Furnished,Land area,4,1,0,Bungalow
Mont Kiara,2300000,4,2,2702.002,Unknown,Built-up,4,1,0,Condominium
KLCC,4756000,2,2,1399.099,Partly Furnished,Built-up,2,0,0,Condominium
Mont Kiara,1780000,3,2,1523.023,Partly Furnished,Built-up,3,0,0,Serviced Residence
Sentul,375000,2,1,743.043,Unfurnished,Built-up,2,0,0,Serviced Residence
Bangsar South,380000,1,1,452.052,Partly Furnished,Built-up,1,1,0,Apartment
KLCC,970000,1,1,603.003,Fully Furnished,Built-up,1,0,0,Serviced Residence
Bukit Jalil,900000,3,2,1513.013,Partly Furnished,Built-up,4,0,0,Condominium
KLCC,4250000,6,2,3300.0,Fully Furnished,Built-up,4,1,0,Serviced Residence
Desa ParkCity,2300000,5,3,2454.054,Partly Furnished,Built-up,4,1,0,Condominium
Setapak,520000,2,2,1450.05,Partly Furnished,Built-up,4,0,0,Condominium
KL City,1420000,3,2,1582.082,Fully Furnished,Built-up,3,1,0,Serviced Residence
KL Sentral,1065140,3,2,1025.025,Partly Furnished,Built-up,3,0,0,Serviced Residence
KLCC,1299000,2,1,900.0,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bangsar,7600000,5,3,4771.071,Unfurnished,Built-up,4,1,0,Condominium
Mont Kiara,2390000,4,3,3043.043,Unfurnished,Built-up,4,1,0,Condominium
Bukit Jalil,850000,2,2,1335.035,Fully Furnished,Built-up,3,0,0,Condominium
Mont Kiara,14500000,8,5,8600.0,Fully Furnished,Land area,5,2,0,Bungalow
KL Sentral,4718680,5,4,3143.043,Partly Furnished,Built-up,4,1,0,Serviced Residence
Bangsar,14800000,8,6,6507.007,Partly Furnished,Land area,12,0,0,Bungalow
Mont Kiara,9900000,8,2,8700.0,Partly Furnished,Land area,6,1,0,Bungalow
Bangsar,5000000,6,4,4800.0,Partly Furnished,Land area,6,0,0,Semi-detached House
Mont Kiara,1850000,3,2,2020.02,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,3360000,2,2,1572.072,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1000000,2,1,811.011,Fully Furnished,Built-up,2,1,0,Serviced Residence
Taman Desa,3700000,5,6,3040.04,Partly Furnished,Land area,4,1,0,Semi-detached House
Taman Desa,4200000,5,4,1615.015,Unfurnished,Land area,4,1,0,Bungalow
Bangsar,18000000,7,6,15000.0,Partly Furnished,Land area,6,0,0,Bungalow
Taman Desa,2688888,5,9,4069.069,Partly Furnished,Built-up,5,1,0,Condominium
Bangsar,8200000,6,5,4945.045,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,6300000,5,6,8000.0,Partly Furnished,Built-up,4,1,0,Condominium
Taman Desa,5500000,7,6,7100.0,Unfurnished,Land area,5,1,0,Bungalow
Jalan Klang Lama (Old Klang Road),550000,2,1,775.075,Fully Furnished,Built-up,1,0,0,Serviced Residence
Taman Desa,3688000,5,5,1367.067,Partly Furnished,Land area,4,1,0,Terrace/Link House
Taman Desa,2680000,5,4,53.08,Partly Furnished,Land area,3,1,0,Terrace/Link House
KLCC,1000000,2,1,849.049,Fully Furnished,Built-up,2,1,0,Serviced Residence
City Centre,1730000,3,1,1442.042,Fully Furnished,Built-up,2,1,0,Serviced Residence
Bukit Tunku (Kenny Hills),5500000,6,5,6900.0,Partly Furnished,Built-up,5,0,0,Condominium
Sungai Besi,630000,2,2,1025.025,Partly Furnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,900000,2,2,1170.07,Partly Furnished,Built-up,3,0,0,Serviced Residence
Sungai Besi,800000,3,2,1430.03,Partly Furnished,Built-up,3,0,0,Serviced Residence
Bangsar,9000000,6,4,8000.0,Partly Furnished,Land area,5,0,0,Bungalow
Damansara Heights,9600000,9,6,7600.0,Partly Furnished,Land area,7,1,0,Bungalow
Bukit Jalil,1750000,5,3,2700.0,Partly Furnished,Built-up,4,1,0,Condominium
Wangsa Maju,1613300,4,3,2336.036,Partly Furnished,Built-up,3,1,0,Condominium
Wangsa Maju,500000,2,1,35.555,Partly Furnished,Land area,3,0,0,Terrace/Link House
KL Eco City,1200000,2,1,969.069,Partly Furnished,Built-up,2,0,0,Condominium
Mont Kiara,2285000,6,3,2874.074,Partly Furnished,Built-up,4,2,0,Condominium
Cheras,363000,2,1,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),1430000,4,3,2638.038,Partly Furnished,Built-up,3,1,0,Condominium
Segambut,1147000,5,5,2500.0,Partly Furnished,Built-up,5,1,0,Condominium
Mont Kiara,645000,1,1,462.062,Fully Furnished,Land area,1,0,0,Serviced Residence
Desa ParkCity,3560000,5,4,63.582,Partly Furnished,Land area,3,1,0,Terrace/Link House
KLCC,1900000,2,1,915.015,Partly Furnished,Built-up,2,1,0,Condominium
KLCC,1450000,2,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Damansara Heights,18000000,7,6,16000.0,Fully Furnished,Land area,7,0,0,Bungalow
Desa ParkCity,2800000,4,3,376444.05,Partly Furnished,Land area,4,1,0,Terrace/Link House
Desa ParkCity,1150000,2,2,1580.08,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,3354000,2,1,1006.006,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,900000,3,1,1063.063,Fully Furnished,Built-up,3,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),938000,3,2,1523.023,Partly Furnished,Built-up,2,1,0,Condominium
Mont Kiara,1800000,4,2,2038.038,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1450000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1200000,2,2,1200.0,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,1850000,4,2,2038.038,Partly Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,980000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1377000,2,1,871.071,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1621000,2,2,1031.031,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1245000,1,2,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,4958000,5,4,2615.015,Fully Furnished,Built-up,4,0,0,Serviced Residence
KLCC,1830000,4,2,1426.026,Fully Furnished,Built-up,3,1,0,Serviced Residence
KLCC,2688800,5,2,2593.093,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,3291600,3,1,1688.088,Partly Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1198800,1,1,636.036,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1250000,1,1,925.025,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,1830000,2,1,1076.076,Partly Furnished,Built-up,1,1,0,Serviced Residence
Mont Kiara,1840000,4,3,2694.094,Partly Furnished,Built-up,3,1,0,Condominium
OUG,2398000,3,8,5000.0,Fully Furnished,Land area,5,0,0,Semi-detached House
Bangsar,5800000,6,4,6600.0,Partly Furnished,Land area,5,1,0,Bungalow
Mont Kiara,1690000,4,2,2020.02,Partly Furnished,Built-up,3,1,0,Condominium
KL Sentral,1380000,2,1,1500.0,Fully Furnished,Built-up,3,0,0,Condominium
Bangsar,1550000,2,2,2400.0,Fully Furnished,Built-up,3,0,0,Townhouse
KLCC,1900000,2,1,1076.076,Fully Furnished,Built-up,1,1,0,Serviced Residence
Bangsar,2900000,3,4,3254.054,Partly Furnished,Land area,4,1,0,Terrace/Link House
Mont Kiara,2890000,6,3,3478.078,Fully Furnished,Built-up,4,1,0,Condominium
Mont Kiara,600000,1,1,633.033,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2270000,2,1,1087.087,Fully Furnished,Built-up,1,1,0,Serviced Residence
Setapak,418000,2,2,900.0,Partly Furnished,Built-up,2,0,0,Serviced Residence
Cheras,318000,2,1,970.07,Fully Furnished,Built-up,2,0,0,Condominium
Cheras,690000,3,2,40.06,Partly Furnished,Land area,4,0,0,Terrace/Link House
Sri Petaling,2400000,5,6,4000.0,Partly Furnished,Land area,5,0,0,Semi-detached House
KL Eco City,780000,1,1,657.057,Partly Furnished,Built-up,1,0,0,Condominium
Kuchai Lama,700000,3,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
Bukit Jalil,1068000,3,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1420000,2,1,976.076,Partly Furnished,Built-up,2,0,0,Condominium
Mont Kiara,2330000,5,3,2702.002,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1780000,4,2,2073.073,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1050000,1,1,751.051,Fully Furnished,Built-up,1,0,0,Condominium
Cheras,530000,2,1,1394.094,Unfurnished,Built-up,3,1,0,Condominium
KLCC,1637500,2,1,976.076,Fully Furnished,Built-up,2,0,0,Condominium
Jalan Klang Lama (Old Klang Road),669000,2,2,1094.094,Unfurnished,Built-up,3,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),1438000,4,4,2378.078,Unfurnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),1280000,4,3,2128.028,Fully Furnished,Built-up,3,2,0,Condominium
KLCC,1000000,3,2,1313.013,Fully Furnished,Built-up,2,2,0,Serviced Residence
Kepong,1100000,5,4,70.0,Unfurnished,Land area,4,1,0,Semi-detached House
Jalan Klang Lama (Old Klang Road),945000,3,2,1523.023,Partly Furnished,Built-up,2,1,0,Condominium
Taman Tun Dr Ismail,1050000,2,2,52.08,Partly Furnished,Land area,3,0,0,Terrace/Link House
KLCC,1550000,2,1,711.011,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,3100000,2,2,1572.072,Partly Furnished,Built-up,2,0,0,Serviced Residence
Bangsar,2900000,3,4,3400.0,Partly Furnished,Land area,5,2,0,Terrace/Link House
KLCC,2670000,2,1,1114.014,Fully Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,908000,2,1,873.073,Partly Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1150000,2,1,910.01,Partly Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1100000,2,1,907.007,Fully Furnished,Built-up,2,0,0,Serviced Residence
Sungai Besi,664000,2,2,1260.06,Partly Furnished,Built-up,3,0,0,Condominium
KLCC,1050000,1,1,751.051,Partly Furnished,Built-up,1,0,0,Condominium
KLCC,990000,1,1,657.057,Partly Furnished,Built-up,1,0,0,Condominium
KL City,768000,1,1,546.046,Fully Furnished,Built-up,0,0,1,Serviced Residence
Mont Kiara,1450000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1000000,1,1,657.057,Partly Furnished,Built-up,1,0,0,Condominium
Mont Kiara,1685000,4,2,2038.038,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2800000,5,3,3041.041,Fully Furnished,Built-up,4,1,0,Condominium
Damansara Heights,2600000,4,2,1851.051,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,3600000,4,2,3897.097,Unfurnished,Built-up,3,1,0,Serviced Residence
Damansara Heights,1400000,1,1,904.004,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,5070000,3,3,2142.042,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,450000,2,2,1018.018,Unfurnished,Built-up,3,0,0,Condominium
Damansara Heights,3800000,6,4,5000.0,Partly Furnished,Land area,6,1,0,Bungalow
KLCC,3843000,2,1,1098.098,Partly Furnished,Built-up,1,1,0,Condominium
Bangsar,7000000,6,4,6846.046,Partly Furnished,Land area,5,1,0,Bungalow
Bukit Tunku (Kenny Hills),14800000,8,6,12000.0,Partly Furnished,Land area,7,1,0,Bungalow
Sri Hartamas,14800000,7,5,13041.041,Fully Furnished,Land area,5,2,0,Bungalow
KL Eco City,1061100,1,1,786.086,Partly Furnished,Built-up,1,1,0,Condominium
KL Eco City,900000,1,1,657.057,Fully Furnished,Built-up,1,0,0,Condominium
Kepong,485000,2,1,950.05,Fully Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,1160000,2,2,1389.089,Partly Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,3550000,5,4,4306.006,Unfurnished,Built-up,4,1,0,Terrace/Link House
Damansara Heights,5400000,4,6,7300.0,Partly Furnished,Land area,4,1,0,Bungalow
KLCC,1300000,1,2,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence
Wangsa Maju,1174338,5,3,2266.066,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1600000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
Mont Kiara,1890000,8,5,58.593,Unfurnished,Land area,5,1,0,Terrace/Link House
KL Sentral,1049888,2,2,858.058,Partly Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1850000,4,2,1830.03,Partly Furnished,Built-up,3,2,0,Condominium
Desa ParkCity,2200000,4,3,61.0,Partly Furnished,Land area,4,1,0,Terrace/Link House
Desa ParkCity,3300000,5,4,60.08,Partly Furnished,Land area,5,0,0,Bungalow
Desa ParkCity,3890000,6,4,60.08,Partly Furnished,Land area,7,1,0,Semi-detached House
Mont Kiara,1470000,2,2,1200.0,Fully Furnished,Land area,3,0,0,Condominium
Taman Tun Dr Ismail,1450000,2,2,52.08,Fully Furnished,Land area,3,0,0,Terrace/Link House
Sungai Besi,2000000,6,6,1053.08,Partly Furnished,Land area,4,1,0,Semi-detached House
Damansara Heights,7612600,4,3,4478.078,Partly Furnished,Built-up,4,2,0,Serviced Residence
Bukit Jalil,1060000,3,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium
Jalan Klang Lama (Old Klang Road),738000,2,2,1092.092,Partly Furnished,Built-up,4,0,0,Condominium
Desa ParkCity,3650000,6,4,53.585,Fully Furnished,Land area,4,1,0,Terrace/Link House
Bangsar,2990000,3,3,62.085,Partly Furnished,Land area,4,1,0,Terrace/Link House
Cheras,715000,2,1,750.05,Fully Furnished,Built-up,3,0,0,Condominium
Wangsa Maju,950000,3,2,1637.037,Partly Furnished,Built-up,3,0,0,Condominium
Damansara Heights,2500000,3,3,2800.0,Partly Furnished,Land area,4,0,0,Terrace/Link House
Damansara Heights,3000000,4,4,3550.05,Partly Furnished,Land area,5,0,0,Semi-detached House
Desa ParkCity,2400000,5,5,51.08,Partly Furnished,Land area,6,0,0,Terrace/Link House
Desa ParkCity,1990000,6,2,61.0,Fully Furnished,Land area,5,1,0,Terrace/Link House
KLCC,1250000,1,1,880.08,Fully Furnished,Built-up,1,1,0,Serviced Residence
Bukit Jalil,1050000,3,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium
Cheras,780000,1,1,624.024,Fully Furnished,Built-up,1,0,0,Apartment
KLCC,1350000,2,2,1270.07,Fully Furnished,Built-up,2,0,0,Condominium
Damansara Heights,2650000,4,3,2077.077,Partly Furnished,Built-up,3,1,0,Serviced Residence
Mont Kiara,2450000,4,3,3000.0,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,2550000,6,3,3541.041,Partly Furnished,Built-up,4,1,0,Condominium
Sungai Besi,1350000,5,2,50.08,Fully Furnished,Land area,6,0,0,Terrace/Link House
Taman Tun Dr Ismail,1500000,3,3,49.575,Partly Furnished,Land area,4,0,0,Terrace/Link House
Bukit Jalil,930000,4,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
